,1,2,3,4,5,6,7,8,9,
1,-0.029308006,0,-0.016174561,-0.02051616,-0.036179283,-0.006235423,-0.005753011,-0.012510605,1.2536032832508447e-2,-0.126677048
2,-0.006282243,-0.008669521,-0.011421224,-0.00411475,-0.005183733,-0.019469122,-0.026481054,-0.00464331,0,-0.086264956
3,0,-0.014259784,-0.013574019,-0.010109095,-0.030084214,-0.019492518,-0.021484433,0,3.82223780349967e-2,-0.109004062
4,-0.02541671,-0.012146244,-0.016320171,-0.013395113,-0.019101102,-0.017986517,-0.005368829,-0.01504909,7.938092708570293e-2,-0.124783774
5,-0.013134831,-0.020866259,-0.011628195,-0.01867449,-0.009321463,-0.018123893,-0.020792855,0,1.7381946428189018e-2,-0.112541985
6,-0.008106612,-0.005386678,-0.015310368,-0.017956837,-0.034457129,-0.006284352,0,-0.007562424,6.582959984497684e-2,-0.095064402
7,-0.006791695,-0.017525087,-0.019461338,-0.005525988,-0.023072845,-0.031031919,0,-0.00305271,1.3257264620616424e-2,-0.106461582
8,-0.023518207,-0.007711984,-0.00467025,-0.006939617,-0.012203082,-0.016019286,-0.027562373,-0.009476982,3.2965111934467314e-2,-0.108101781
9,-0.01192553,-0.014928604,-0.002069543,-0.003054285,0,-0.024179316,-0.020946237,-0.016867414,9.418069794417822e-2,-0.093970929
,,,,,,,,,,-0.962870519