"Time","Profit_1","Profit_2","Profit_3","Profit_4","Profit_5","Profit_6","Profit_7","Profit_8","Profit_9","Profit_10"
"1","13.648657596733047","11.34564377792628","14.031282885498014","61.75700227710041","18.529181190495784","0.0","64.51060769665165","60.29441685428829","55.88320772130652","-300.0"
"2","23.240759114301177","16.231545586581127","20.283094177149675","55.0170429307476","23.501210618382366","14.098880196717307","45.046861347234895","50.9599013415245","51.62070468736134","-300.0"
"3","23.519153998399158","15.635291853356527","20.150640185293373","55.38519272175823","23.476880134051925","14.217475285095205","47.02877237488724","50.122320966241446","50.464272480916904","-300.0"
"4","23.52606573303693","15.767649410976356","20.21225057840706","55.25196845326035","23.5719885831568","14.108291288240261","46.96828154334757","50.218451463027336","50.37505294654733","-300.0"
"5","23.53042523599738","15.766068952137005","20.210824093161392","55.254071892641335","23.56726696089472","14.108714278047401","46.97597491883252","50.21543049518439","50.371223173103836","-300.0"
"6","23.530393278048656","15.766595183339234","20.2107852713604","55.25370894220642","23.567756304101838","14.108071762740936","46.9755722652375","50.215979527423954","50.37113746554105","-300.0"
"7","23.530421254946095","15.766560959916738","20.210770826547353","55.253736136603635","23.567723225116374","14.108101188278352","46.97558200317023","50.215962887072216","50.371141518349006","-300.0"
"8","23.530421937772566","15.766561600124717","20.210769215300214","55.25373630493455","23.567724336168617","14.108099690016559","46.97558009962296","50.21596478029377","50.371142035766034","-300.0"
"9","23.530422103096562","15.766561405920235","20.21076907921347","55.253736466826446","23.567724205323817","14.108099832151584","46.975580033620496","50.215964759927274","50.371142113920115","-300.0"
"10","23.530422113473644","15.766561399036727","20.21076906480181","55.2537364763339","23.567724203539353","14.108099832940013","46.975580022607936","50.21596476679915","50.37114212046747","-300.0"
"11","23.53042211463883","15.76656139786473","20.210769063548934","55.25373647746635","23.567724202925525","14.10809983360272","46.97558002173844","50.21596476704943","50.371142121165065","-300.0"
"12","23.5304221147384","15.76656139777503","20.210769063428174","55.2537364775642","23.56772420288414","14.108099833643424","46.97558002165297","50.21596476708617","50.3711421212275","-300.0"
"13","23.530422114747843","15.766561397766024","20.210769063417185","55.25373647757348","23.567724202879816","14.10809983364797","46.97558002164513","50.21596476708909","50.37114212123346","-300.0"
"14","23.53042211474871","15.766561397765203","20.21076906341617","55.25373647757436","23.56772420287942","14.108099833648371","46.9755800216444","50.215964767089375","50.371142121234016","-300.0"
"15","23.53042211474879","15.766561397765127","20.21076906341607","55.25373647757442","23.567724202879383","14.108099833648414","46.97558002164434","50.21596476708939","50.371142121234065","-300.0"
"16","23.530422114748795","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.10809983364841","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"17","23.530422114748802","15.76656139776512","20.210769063416066","55.253736477574435","23.567724202879386","14.108099833648419","46.97558002164433","50.21596476708939","50.37114212123406","-300.0"
"18","23.530422114748802","15.76656139776512","20.210769063416066","55.253736477574435","23.56772420287938","14.108099833648415","46.97558002164432","50.2159647670894","50.37114212123407","-300.0"
"19","23.530422114748795","15.766561397765123","20.210769063416066","55.253736477574435","23.567724202879383","14.108099833648415","46.97558002164433","50.21596476708939","50.37114212123406","-300.0"
"20","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648417","46.97558002164433","50.2159647670894","60.37114212123407","-310.0"
"21","23.672170723048964","15.766561397765118","20.642960727618934","56.1513199547648","23.76426698069938","14.852454470211317","47.12548380978424","50.5887109780799","47.43607095802735","-300.0"
"22","23.659008586542857","15.863280147949743","20.20184207343508","55.152847446981944","23.649055582479804","14.02558686232092","47.06032173156909","50.21840586221816","50.169651706502385","-300.0"
"23","23.538237216485236","15.77444270305025","20.210382374349162","55.24642167154728","23.572766210304945","14.096194765888576","46.9772142237986","50.224590437344084","50.35975039723188","-300.0"
"24","23.531272095097396","15.766696779307493","20.210288405598185","55.25378180745379","23.567590473905483","14.107676043018785","46.97543193750835","50.216439182393955","50.37082327571656","-300.0"
"25","23.530486847282454","15.766542184502997","20.210700923572254","55.25377140909683","23.56771623411673","14.10808092850462","46.975538297009905","50.216006708333225","50.371156467580974","-300.0"
"26","23.53042859772564","15.766556466962108","20.21076238154111","55.253741714884654","23.56772163283241","14.108101797267098","46.975575126900154","50.215967149761525","50.37114513212531","-300.0"
"27","23.530422701969606","15.766560895203927","20.210768386085107","55.25373702546883","23.567723955397312","14.108100053612592","46.97557956863895","50.215964967038246","50.37114244658542","-300.0"
"28","23.530422168569817","15.76656134922462","20.210769000999704","55.25373652862412","23.567724180315132","14.108099856354515","46.97557997629525","50.21596478585706","50.37114215375981","-300.0"
"29","23.530422119781942","15.76656139305347","20.210769057567134","55.253736482497246","23.567724200579253","14.108099835988586","46.97558001756515","50.2159647686539","50.371142124313316","-300.0"
"30","23.53042211520779","15.766561397337096","20.210769062874434","55.253736478024535","23.567724202677624","14.108099833856052","46.975580021257194","50.21596476724251","50.37114212152278","-300.0"
"31","23.53042211479146","15.766561397724672","20.210769063366016","55.253736477616606","23.567724202859946","14.108099833668614","46.97558002160888","50.21596476710286","50.37114212126097","-300.0"
"32","23.530422114752717","15.766561397761413","20.210769063411433","55.2537364775783","23.56772420287762","14.108099833650249","46.975580021641036","50.21596476709067","50.371142121236545","-300.0"
"33","23.530422114749165","15.766561397764775","20.210769063415633","55.253736477574776","23.56772420287922","14.108099833648586","46.97558002164402","50.2159647670895","50.3711421212343","-300.0"
"34","23.530422114748834","15.76656139776509","20.21076906341602","55.25373647757446","23.567724202879376","14.10809983364843","46.975580021644305","50.2159647670894","50.371142121234094","-300.0"
"35","23.530422114748806","15.766561397765118","20.21076906341606","55.253736477574435","23.56772420287939","14.108099833648417","46.97558002164432","50.2159647670894","50.37114212123407","-300.0"
"36","23.530422114748802","15.766561397765116","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648417","46.97558002164433","50.215964767089396","50.37114212123406","-300.0"
"37","23.530422114748795","15.76656139776512","20.210769063416066","55.25373647757442","23.567724202879383","14.108099833648417","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"38","23.5304221147488","15.76656139776512","20.21076906341606","55.25373647757442","23.567724202879376","14.108099833648415","46.975580021644326","50.21596476708939","50.37114212123406","-300.0"
"39","23.530422114748795","15.766561397765118","20.210769063416066","55.253736477574435","23.567724202879386","14.108099833648415","46.97558002164433","50.2159647670894","50.37114212123406","-300.0"
"40","23.530422114748802","15.766561397765125","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.371142121234065","-300.0"
"41","23.5304221147488","15.766561397765118","20.210769063416066","55.253736477574435","23.567724202879376","14.108099833648417","46.975580021644326","50.2159647670894","50.37114212123406","-300.0"
"42","23.5304221147488","15.76656139776512","20.21076906341606","55.25373647757442","23.56772420287938","14.108099833648414","46.975580021644326","50.21596476708939","50.371142121234065","-300.0"
"43","23.5304221147488","15.766561397765122","20.210769063416066","55.253736477574435","23.56772420287938","14.108099833648415","46.97558002164433","50.21596476708939","50.37114212123407","-300.0"
"44","23.5304221147488","15.766561397765118","20.210769063416066","55.253736477574435","23.56772420287938","14.108099833648412","46.97558002164433","50.2159647670894","50.371142121234065","-300.0"
"45","23.530422114748795","15.766561397765122","20.21076906341606","55.25373647757442","23.567724202879386","14.108099833648419","46.97558002164433","50.21596476708939","50.371142121234065","-300.0"
"46","23.530422114748795","15.766561397765118","20.21076906341606","55.25373647757444","23.567724202879383","14.108099833648412","46.97558002164432","50.215964767089396","50.37114212123406","-300.0"
"47","23.5304221147488","15.766561397765122","20.210769063416066","55.25373647757442","23.567724202879386","14.108099833648415","46.97558002164433","50.21596476708939","50.371142121234065","-300.0"
"48","23.530422114748795","15.766561397765118","20.21076906341606","55.25373647757444","23.567724202879383","14.108099833648414","46.97558002164432","50.215964767089396","50.37114212123406","-300.0"
"49","23.5304221147488","15.76656139776512","20.210769063416066","55.25373647757442","23.567724202879376","14.108099833648422","46.97558002164433","50.215964767089396","50.37114212123407","-300.0"
"50","23.530422114748802","15.76656139776512","20.21076906341606","55.253736477574435","23.567724202879383","14.10809983364841","46.975580021644326","50.215964767089396","50.37114212123406","-300.0"
"51","23.530422114748788","15.766561397765122","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648419","46.975580021644326","50.21596476708939","50.371142121234065","-300.0"
"52","23.53042211474879","15.766561397765118","20.210769063416063","55.25373647757442","23.567724202879386","14.108099833648414","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"53","23.5304221147488","15.76656139776512","20.210769063416056","55.253736477574435","23.567724202879383","14.108099833648417","46.97558002164433","50.21596476708939","50.37114212123406","-300.0"
"54","23.5304221147488","15.766561397765116","20.210769063416066","55.25373647757443","23.567724202879386","14.108099833648412","46.97558002164432","50.21596476708941","50.371142121234065","-300.0"
"55","23.530422114748795","15.766561397765123","20.210769063416063","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.21596476708939","50.37114212123406","-300.0"
"56","23.530422114748795","15.766561397765118","20.210769063416063","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164433","50.2159647670894","50.37114212123406","-300.0"
"57","23.5304221147488","15.766561397765122","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648417","46.975580021644326","50.215964767089396","50.37114212123406","-300.0"
"58","23.530422114748802","15.766561397765123","20.210769063416066","55.25373647757442","23.567724202879383","14.108099833648417","46.97558002164433","50.2159647670894","50.37114212123406","-300.0"
"59","23.530422114748802","15.766561397765122","20.210769063416066","55.25373647757442","23.567724202879383","14.108099833648417","46.975580021644326","50.215964767089396","50.37114212123406","-300.0"
"60","23.530422114748795","15.766561397765123","20.21076906341606","55.253736477574435","23.567724202879383","14.10809983364841","46.97558002164433","50.2159647670894","50.37114212123406","-300.0"
"61","23.530422114748802","15.766561397765122","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648414","46.97558002164431","50.215964767089396","50.37114212123407","-300.0"
"62","23.530422114748802","15.766561397765123","20.21076906341606","55.253736477574435","23.567724202879383","14.10809983364841","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"63","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648415","46.975580021644326","50.215964767089396","50.37114212123407","-300.0"
"64","23.530422114748802","15.766561397765123","20.21076906341606","55.253736477574435","23.567724202879383","14.10809983364841","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"65","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648415","46.975580021644326","50.215964767089396","50.37114212123407","-300.0"
"66","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757443","23.567724202879383","14.10809983364841","46.97558002164433","50.21596476708942","50.371142121234065","-300.0"
"67","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648415","46.97558002164433","50.2159647670894","50.37114212123407","-300.0"
"68","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757443","23.567724202879383","14.10809983364841","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"69","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"70","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"71","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"72","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"73","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"74","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164433","50.21596476708942","50.371142121234065","-300.0"
"75","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.97558002164433","50.2159647670894","50.37114212123407","-300.0"
"76","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"77","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"78","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"79","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"80","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"81","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"82","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164433","50.21596476708942","50.371142121234065","-300.0"
"83","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.97558002164433","50.2159647670894","50.37114212123407","-300.0"
"84","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"85","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"86","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"87","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"88","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"89","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"90","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164433","50.21596476708942","50.371142121234065","-300.0"
"91","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.97558002164433","50.2159647670894","50.37114212123407","-300.0"
"92","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"93","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"94","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"95","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"96","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
"97","23.530422114748802","15.766561397765118","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648415","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"98","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164433","50.21596476708942","50.371142121234065","-300.0"
"99","23.530422114748802","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.108099833648415","46.97558002164433","50.2159647670894","50.37114212123407","-300.0"
"100","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757442","23.567724202879383","14.108099833648412","46.97558002164432","50.2159647670894","50.371142121234065","-300.0"
